trip_instance_id,trip_id,route_id,service_date,stop_sequence,next_stop_sequence,stop_id,next_stop_id,stop_name,next_stop_name,seg_length,scheduled_seconds,actual_seconds,seg_geojson,segment_label,scheduled_speed_kmh,actual_speed_kmh,speed_delta_kmh,time_delta_seconds
14895634_20251117,14895634,6692,2025-11-17,11,12,12349,10827,Westbound E Keith Rd @ Sutherland Ave,Northbound Grand Blvd East @ E Keith Rd,144.91381562012734,21.0,21.0,"{""type"":""LineString"",""coordinates"":[[-123.055162946,49.313474539],[-123.055758,49.313482],[-123.056563,49.313491],[-123.056564,49.313492],[-123.056553835,49.313878259]]}",Westbound E Keith Rd @ Sutherland Ave → Northbound Grand Blvd East @ E Keith Rd,24.842368392021832,24.842368392021832,0.0,0.0
14895634_20251117,14895634,6692,2025-11-17,12,13,10827,4220,Northbound Grand Blvd East @ E Keith Rd,Northbound Grand Blvd East @ E 9th St,221.11182593286213,31.0,31.0,"{""type"":""LineString"",""coordinates"":[[-123.056553835,49.313878259],[-123.056535,49.314594],[-123.056503,49.315652],[-123.056503,49.315651],[-123.056497511,49.315864048]]}",Northbound Grand Blvd East @ E Keith Rd → Northbound Grand Blvd East @ E 9th St,25.677502366396894,25.677502366396894,0.0,0.0
14895634_20251117,14895634,6692,2025-11-17,13,14,4220,4221,Northbound Grand Blvd East @ E 9th St,Northbound Grand Blvd East @ E 11 St,233.5706686505957,33.0,33.0,"{""type"":""LineString"",""coordinates"":[[-123.056497511,49.315864048],[-123.056476,49.316699],[-123.056449,49.317726],[-123.05645,49.317726],[-123.056443298,49.31796324]]}",Northbound Grand Blvd East @ E 9th St → Northbound Grand Blvd East @ E 11 St,25.480436580064985,25.480436580064985,0.0,0.0
14895634_20251117,14895634,6692,2025-11-17,14,15,4221,12697,Northbound Grand Blvd East @ E 11 St,Northbound Grand Blvd East @ E 13 St,238.2758324583767,34.0,34.0,"{""type"":""LineString"",""coordinates"":[[-123.056443298,49.31796324],[-123.05642,49.318788],[-123.056419,49.318788],[-123.056393,49.319802],[-123.056384569,49.320104715]]}",Northbound Grand Blvd East @ E 11 St → Northbound Grand Blvd East @ E 13 St,25.229205789710473,25.229205789710473,0.0,0.0
14895634_20251117,14895634,6692,2025-11-17,15,16,12697,4830,Northbound Grand Blvd East @ E 13 St,Westbound E 15 St @ Grand Blvd East,255.80693745771654,44.0,44.0,"{""type"":""LineString"",""coordinates"":[[-123.056384569,49.320104715],[-123.056372,49.320556],[-123.056364,49.320852],[-123.056348,49.32132],[-123.05633,49.321874],[-123.057141449,49.32186942]]}",Northbound Grand Blvd East @ E 13 St → Westbound E 15 St @ Grand Blvd East,20.92965851926772,20.92965851926772,0.0,0.0
14895634_20251117,14895634,6692,2025-11-17,16,17,4830,4511,Westbound E 15 St @ Grand Blvd East,Westbound E 15 St @ Moody Ave,234.8110154364126,55.0,55.0,"{""type"":""LineString"",""coordinates"":[[-123.057141449,49.32186942],[-123.057393,49.321868],[-123.057545,49.321867],[-123.058305,49.321892],[-123.059987,49.321946],[-123.060368326,49.32194857]]}",Westbound E 15 St @ Grand Blvd East → Westbound E 15 St @ Moody Ave,15.369448283110643,15.369448283110643,0.0,0.0
14895634_20251117,14895634,6692,2025-11-17,17,18,4511,4512,Westbound E 15 St @ Moody Ave,Westbound E 15 St @ Ridgeway Ave,223.01370366291064,52.0,52.0,"{""type"":""LineString"",""coordinates"":[[-123.060368326,49.32194857],[-123.060729,49.321951],[-123.063025,49.321983],[-123.063435377,49.321986748]]}",Westbound E 15 St @ Moody Ave → Westbound E 15 St @ Ridgeway Ave,15.439410253586123,15.439410253586123,0.0,0.0
14895634_20251117,14895634,6692,2025-11-17,18,19,4512,4513,Westbound E 15 St @ Ridgeway Ave,Westbound E 15 St @ St. Andrews Ave,223.14661648643394,52.0,52.0,"{""type"":""LineString"",""coordinates"":[[-123.063435377,49.321986748],[-123.063682,49.321989],[-123.065378,49.322004],[-123.066122,49.322011],[-123.066504545,49.322014502]]}",Westbound E 15 St @ Ridgeway Ave → Westbound E 15 St @ St. Andrews Ave,15.448611910599274,15.448611910599274,0.0,0.0
14895634_20251117,14895634,6692,2025-11-17,19,20,4513,4301,Westbound E 15 St @ St. Andrews Ave,Southbound Lonsdale Ave @ W 15 St,464.45789194563247,109.0,109.0,"{""type"":""LineString"",""coordinates"":[[-123.066504545,49.322014502],[-123.067433,49.322023],[-123.067597,49.322025],[-123.068628,49.322035],[-123.069198,49.32204],[-123.069198,49.322041],[-123.070763,49.322055],[-123.070762,49.322055],[-123.071453,49.322061],[-123.071679,49.322063],[-123.072318,49.322069],[-123.072328467,49.321695667]]}",Westbound E 15 St @ St. Andrews Ave → Southbound Lonsdale Ave @ W 15 St,15.33989367893832,15.33989367893832,0.0,0.0
14895634_20251117,14895634,6692,2025-11-17,20,21,4301,4200,Southbound Lonsdale Ave @ W 15 St,Southbound Lonsdale Ave @ W 13 St,233.18886837702098,53.0,53.0,"{""type"":""LineString"",""coordinates"":[[-123.072328467,49.321695667],[-123.072345,49.321106],[-123.072348,49.321018],[-123.072373,49.319967],[-123.07238242,49.319599245]]}",Southbound Lonsdale Ave @ W 15 St → Southbound Lonsdale Ave @ W 13 St,15.839243889759915,15.839243889759915,0.0,0.0
