Route,From Stop,To Stop,Time Period,Avg Delay (min),Std Delay,Sample Count,Speed Reduction %
251,Westbound Marine Dr @ 15 St,Westbound Marine Dr @ 17 St,Midday,26.291666666666668,35.97995004937549,2,77.06556300546072
373,Northbound 150 St @ 107A Ave,Westbound 108 Ave @ Oriole Dr,Night,22.933333333333334,,1,97.24381625441696
004,Southbound Blanca St @ W 4th Ave,Westbound University Blvd @ Allison Rd,Morning Rush,16.491666666666667,15.35600226476786,2,92.07828589195681
251,Westbound Marine Dr @ Main St,Westbound Marine Dr @ 11 St,Morning Rush,16.066666666666666,,1,94.60255152109912
180,Northbound North Rd @ Austin Ave,Northbound North Rd @ Cameron St,Night,15.283333333333333,,1,95.52083333333331
350,Westbound 16 Ave @ Everall St,Westbound 16 Ave @ 148 St,Night,13.55,,1,97.95180722891567
157,Burquitlam Station @ Bay 2,Southbound North Rd @ Cottonwood Ave,Morning Rush,12.341666666666667,6.06403560162519,6,89.68037303102562
501,Northbound 200 St @ 84 Ave,Carvolth Exchange @ Bay 4,Midday,10.083333333333334,9.686947116839466,3,83.01072977446266
251,Westbound Marine Dr @ Main St,Westbound Marine Dr @ 11 St,Midday,10.016666666666667,,1,91.61585365853658
134,Brentwood Station @ Bay 2,Eastbound Brentlawn Dr @ Beta Ave,Midday,8.895833333333334,3.1322804081939335,4,95.65273041056297
010,Northbound Granville St @ Balfour Ave,Northbound Granville St @ W 10 Ave,Midday,7.857142857142857,1.6470191127221196,7,94.78617910215357
701,Coquitlam Central Station @ Bay 6,Eastbound Lougheed Hwy @ Westwood St,Night,7.666666666666667,,1,81.70515097690941
134,Brentwood Station @ Bay 2,Eastbound Brentlawn Dr @ Beta Ave,Morning Rush,7.6642857142857155,2.7277284772320445,7,95.2405823462822
413,Eastbound Steveston Hwy @ Hwy 99,Eastbound Steveston Hwy @ Hwy 99,Midday,7.6499999999999995,13.351810114487598,3,25.941358206204892
250,Westbound Mathers Ave @ 20 St,Westbound Mathers Ave @ 22 St,Morning Rush,7.433333333333334,,1,87.79527559055119
010,Northbound Granville St @ Balfour Ave,Northbound Granville St @ W 10 Ave,Morning Rush,7.104545454545455,1.400061326218147,11,95.06457319741793
371,Westbound 108 Ave @ King George Blvd,Gateway Station @ Bay 2,Midday,6.846666666666667,12.556590788196539,5,73.55023908322913
791,Southbound Maple Meadows Way @ 200 St,Maple Meadows Station @ Bay 2,Midday,6.727777777777778,9.941695771588206,3,62.52687958212359
254,Southbound Chartwell Dr @ Bramwell Rd,Eastbound Chartwell Dr @ 1300 Block,Morning Rush,6.7,,1,65.90163934426229
004,Southbound Blanca St @ W 4th Ave,Westbound University Blvd @ Allison Rd,Midday,6.561904761904762,6.46803904599602,7,84.13442986461698
701,Mission City Station @ Bay 1,Haney Place @ Bay 2,Midday,6.483333333333333,,1,18.801353310778154
022,Northbound Knight St @ E 63 Ave,Northbound Knight St @ E 61 Ave,Night,6.466666666666667,,1,92.16152019002375
228,Westbound Coleman St @ Underwood Ave,Southbound Hoskins Rd @ Coleman St,Midday,6.3875,9.467814631100934,4,41.96537623708531
228,Southbound Grand Blvd East @ E 17 St,Southbound Grand Blvd East @ E 15 St,Midday,6.306666666666667,12.69187513507931,5,47.32936663831117
364,Northbound 203 St @ Fraser Hwy,Westbound 64 Ave @ 204 St,Morning Rush,6.103030303030303,8.048653504302644,11,13.354758660114122
157,Burquitlam Station @ Bay 2,Southbound North Rd @ Cottonwood Ave,Midday,6.074999999999999,0.7896025723249775,2,83.02521448001673
010,Northbound Granville St @ Balfour Ave,Northbound Granville St @ W 10 Ave,Night,6.0,,1,94.73684210526315
609,Westbound Ladner Trunk Rd @ 57 St,Westbound Ladner Trunk Rd @ 55B St,Midday,6.0,8.579562278396777,2,37.479492915734525
410,Eastbound Westminster Hwy @ Gilley Rd,Eastbound Westminster Hwy @ Boundary Rd,Midday,5.964583333333334,1.2207348001842795,8,88.90267292846434
375,Westbound 16 Ave @ 154 St,White Rock Centre @ Bay 6,Midday,5.858333333333333,4.68829314277516,4,78.08452427809713
