stop_id,stop_name,stop_lat,stop_lon
1,Westbound Davie St @ Bidwell St,49.286592,-123.140661
10000,Northbound No. 5 Rd @ McNeely Dr,49.179962,-123.09149
10001,Northbound No. 5 Rd @ Woodhead Rd,49.18267,-123.091448
10002,Southbound No. 5 Rd @ Cambie Rd,49.184252,-123.091627
10003,Southbound No. 5 Rd @ Woodhead Rd,49.182051,-123.091659
10004,Eastbound McNeely Dr @ No. 5 Rd,49.179586,-123.091105
10005,Eastbound Jack Bell Dr @ McNeely Dr,49.179599,-123.087232
10006,Eastbound Jack Bell Dr @ 12500 Block,49.178199,-123.084601
10007,Northbound Jack Bell Dr @ Wyne Cres North,49.180787,-123.082085
10008,Northbound Jacombs Rd @ Vanier Place,49.183053,-123.080188
10012,Eastbound Lougheed Hwy @ Madison Ave,49.266312,-123.008094
10013,Westbound Lougheed Hwy @ Madison Ave,49.266542,-123.009458
10017,Westbound Lougheed Hwy @ Holdom Ave,49.265095,-122.982086
10018,Eastbound Lougheed Hwy @ Holdom Ave,49.264649,-122.980395
10021,Westbound Lougheed Hwy @ Sperling Ave,49.25941,-122.962966
10023,Eastbound Lougheed Hwy @ Bainbridge Ave,49.258523,-122.955209
10028,Westbound Lougheed Hwy @ Lake City Way,49.25443,-122.938606
10029,Eastbound Lougheed Hwy @ Lake City Way,49.254139,-122.937052
10034,Westbound Lougheed Hwy @ Production Way,49.253225,-122.917557
10035,Westbound River Rd @ 23900 Block,49.182568,-122.559304
10036,Southbound Turner Creek Dr @ Heritage Mountain Blvd,49.293537,-122.838479
10037,Westbound Government Rd @ Brighton Ave,49.250879,-122.919712
10038,Eastbound Government Rd @ Brighton Ave,49.250777,-122.919356
1004,Northbound Cambie St @ W 59 Ave,49.217289,-123.116608
10040,Southbound Cooney Rd @ Ackroyd Rd,49.171551,-123.13164
10042,Southbound Smith Ave @ Fir St,49.244604,-123.019856
10046,Westbound Beach Ave @ Howe St,49.274962,-123.132056
10048,Westbound Beach Ave @ Thurlow St,49.27794,-123.135706
10049,Westbound Beach Ave @ Bute St,49.279589,-123.137338
1006,Northbound Cambie St @ W 54 Ave,49.22204,-123.116425
10060,Eastbound River Rd @ 236 St,49.186932,-122.567124
10062,Southbound Derwent Way @ Belgrave Way,49.182712,-122.929683
10063,Southbound Sunnyside Rd @ Anmore Grocery Store,49.322138,-122.855795
10064,Westbound Pacific St @ Jervis St,49.280964,-123.138406
10067,Eastbound Brunette Ave @ Lougheed Hwy,49.236831,-122.870969
10068,Westbound Brunette Ave @ Lougheed Hwy,49.236997,-122.8711
10070,Eastbound Davie St @ Broughton St,49.283478,-123.136106
10071,Northbound Willingdon Ave @ Albert St,49.282191,-123.003044
10073,Northbound East Rd @ Blackberry Dr,49.300172,-122.835368
10074,Southbound East Rd @ Blackberry Dr,49.300062,-122.835526
10076,Southbound E Columbia St @ 600 Block,49.236815,-122.892659
10079,Eastbound Deer Lake Parkway @ Wayburne Dr,49.241548,-122.997353
10085,Northbound 52 St @ 7A Ave,49.016476,-123.079556
10090,Northbound Sperling Ave @ Curtis St,49.27563,-122.964554
10092,Southbound Kensington Ave @ Hastings St,49.279834,-122.97013
10095,Eastbound Murray St @ 2900 Block,49.278787,-122.845471
10096,Eastbound Murray St @ Klahanie Dr West,49.279358,-122.838591
10099,Westbound Murray St @ Capilano Rd,49.28063,-122.830879
101,Westbound Cornwall Ave @ Cypress St,49.272539,-123.148302
10100,Westbound Murray St @ Klahanie Dr East,49.280637,-122.833714
10101,Westbound Murray St @ 2900 Block,49.278915,-122.845681
10105,Southbound Broadway St @ Cameron Ave,49.247786,-122.762468
10106,Southbound Broadway St @ Mary Hill Bypass,49.242472,-122.762497
10110,Southbound Underhill Ave @ 2700 Block,49.259302,-122.9278
10112,Southbound Horseshoe Way @ Blacksmith Place,49.127969,-123.096021
10113,Southbound 116 St @ 82 Ave,49.152873,-122.901627
10114,Eastbound W Georgia St @ Hamilton St,49.280019,-123.114489
10128,Northbound Glover Rd @ Hwy 10 Bypass,49.135762,-122.61103
10129,Southbound Glover Rd @ Hwy 10 Bypass,49.13588,-122.61123
1013,Northbound Seymour St @ Davie St,49.276811,-123.124629
10130,Northbound Banbury Rd @ Gallant Ave,49.326512,-122.949168
10131,Westbound Hansen Rd @ Grosvenor Rd,49.204352,-122.836473
10132,Southbound Johnson St @ Guildford Way,49.284778,-122.801761
10134,Westbound Robson Dr @ Madrona Place,49.300339,-122.79179
