GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_6: Population density per square kilometre
9330001.01,CT,0001.01,1.0195,6154,2336,2290,6036.3
9330001.02,CT,0001.02,1.8621,8245,3799,3587,4427.8
9330002.01,CT,0002.01,1.9403,6949,3024,2890,3581.4
9330002.03,CT,0002.03,0.7852,3908,1465,1357,4977.1
9330002.04,CT,0002.04,0.777,4527,1703,1587,5826.3
9330003.01,CT,0003.01,0.5432,3703,1370,1218,6817
9330003.02,CT,0003.02,1.1175,4519,1474,1368,4043.8
9330004.01,CT,0004.01,1.5554,7090,3492,3155,4558.3
9330004.02,CT,0004.02,1.1824,5548,1922,1792,4692.2
9330005.00,CT,0005.00,1.3791,7151,4405,4204,5185.3
9330006.01,CT,0006.01,0.9175,4998,1946,1844,5447.4
9330006.02,CT,0006.02,1.0936,6096,2398,2257,5574.3
9330007.01,CT,0007.01,2.6684,5724,2490,2350,2145.1
9330007.02,CT,0007.02,1.4185,4256,1774,1660,3000.4
9330008.01,CT,0008.01,1.8398,1646,584,562,894.7
9330008.02,CT,0008.02,3.5378,4209,1621,1523,1189.7
9330009.00,CT,0009.00,1.6647,7168,3521,3304,4305.9
9330010.01,CT,0010.01,1.4154,5447,2439,2283,3848.4
9330010.02,CT,0010.02,1.393,5197,1975,1889,3730.8
9330011.00,CT,0011.00,1.5728,6910,2727,2501,4393.4
9330012.01,CT,0012.01,0.8885,4455,1747,1588,5014.1
9330012.02,CT,0012.02,0.6543,4047,1653,1549,6185.2
9330013.01,CT,0013.01,1.1375,6634,2537,2357,5832.1
9330013.03,CT,0013.03,0.6239,5213,1812,1693,8355.5
9330013.04,CT,0013.04,0.4773,3580,1284,1175,7500.5
9330014.01,CT,0014.01,0.5041,2936,1122,1040,5824.2
9330014.02,CT,0014.02,0.807,5651,2236,2076,7002.5
9330015.01,CT,0015.01,0.9314,5688,2058,1883,6106.9
9330015.02,CT,0015.02,1.3426,6770,2544,2378,5042.5
9330016.01,CT,0016.01,0.6765,4966,1904,1805,7340.7
9330016.04,CT,0016.04,0.9363,7340,2816,2666,7839.4
9330016.05,CT,0016.05,0.5427,4861,2075,1917,8957.1
9330016.06,CT,0016.06,0.1238,6489,3577,3437,52415.2
9330017.02,CT,0017.02,0.8547,6673,2528,2392,7807.4
9330017.03,CT,0017.03,0.7405,4948,1999,1862,6682
9330017.04,CT,0017.04,0.4194,2695,1035,958,6425.8
9330018.01,CT,0018.01,0.9026,7070,2669,2497,7832.9
9330018.02,CT,0018.02,0.988,7167,2708,2531,7254
9330019.00,CT,0019.00,1.8392,5611,2532,2352,3050.8
9330020.00,CT,0020.00,1.3912,3745,1614,1497,2691.9
9330021.00,CT,0021.00,2.2093,3624,1375,1278,1640.3
9330022.00,CT,0022.00,0.3178,3098,1847,1709,9748.3
9330023.00,CT,0023.00,1.2002,4387,1610,1497,3655.2
9330024.00,CT,0024.00,1.7023,6007,2314,2161,3528.8
9330025.00,CT,0025.00,1.9891,7567,3076,2828,3804.2
